tune-x,tune-y,Nint,max-int,min-int,mean-survive,std-survive,Nipm,mean-gauss-mu,std-gauss-mu,mean-gauss-sigma,std-gauss-sigma,mean-gauss-amp,std-gauss-amp,mean-beamsize-growth,std-beamsize-growth
25.32,24.43,3,0.5207333333333333,0.5022,0.9703777552425498,0.004146639623738548,3,6.49217770493188,2.0354500545292553,14.234455874926036,2.017868399713596,16.141496921021723,2.3199625189657653,1.0029341375063459,0.025646160461157474
25.321,24.43,3,0.5125,0.4969333333333334,0.976089402828168,0.0013467157276504345,3,6.433635460342887,2.0758351080994237,14.26295699919608,2.026453343748733,16.165895231476146,2.299368314611494,1.0187007983792637,0.030165426288962346
25.322,24.43,3,0.5060666666666668,0.49266666666666664,0.9796853325331623,0.000397095490412898,3,6.578782853392293,2.1896716132454284,14.047385523949083,2.0398402559120448,15.99888781047891,2.260155639447032,1.0013683690830641,0.03187300425261389
25.323,24.43,3,0.5110333333333333,0.49816666666666665,0.9817616415197904,0.0002595699437918951,3,6.766751198508274,2.26178776293793,13.677485606264261,1.9669349651820214,15.738895769465218,2.2677654307396113,1.0167887724049118,0.011942253499300974
25.324,24.43,3,0.5077666666666666,0.4958666666666667,0.9824980779929383,0.0007984516596891702,3,6.794510608397843,2.0144530850838667,13.377769169957531,1.9357905750467037,15.546699438758312,2.1718727502968416,0.996613047119684,0.032313270890302184
25.325,24.43,3,0.5093666666666666,0.49699999999999994,0.9815252835777922,0.00025579308546681,3,6.992093032836355,2.06933983252438,13.035808721079981,1.9205384763171127,15.238817194045282,2.1117221058592155,1.0018565544597264,0.018070501943686163
25.326,24.43,3,0.5183666666666666,0.5046666666666667,0.9810709245034737,0.0006031819172891031,3,6.81718559570835,2.135853943062919,13.3987572782576,1.9222982247571292,15.61738401385802,2.2196407130944444,1.0083284164832689,0.03597989095413216
25.327,24.43,3,0.5164333333333334,0.5045666666666667,0.9822267203374914,0.0006059701893340507,3,6.660395590849318,2.097195826456479,13.6262744769013,1.9330050140076667,15.691466021462341,2.2032855461281895,1.0105909625544554,0.00217712297253781
25.328,24.43,3,0.5112666666666666,0.49816666666666665,0.9812467596665138,0.0002827624969763808,3,6.870561574505565,2.1779225547346743,13.306873990774427,1.9859414070802561,15.435231443892796,2.1748075666135738,0.9954046067984693,0.018721853480879035
25.329,24.43,3,0.5166,0.5025,0.9789537844190465,0.0010908199531689613,3,7.015566364812727,2.245909799596832,13.042132592327924,1.8941415846056338,15.331529368621998,2.110380928374371,1.0188185371310847,0.017718082456089773
25.330000000000002,24.43,3,0.4966,0.48016666666666663,0.9729150944767856,0.004967555299338872,3,7.2256162045514545,2.211851962570895,12.630176592434347,1.9775670747166645,15.145592022471007,2.05245869150376,1.1500671185699782,0.07226208438542603
25.331,24.43,3,0.5055,0.4766666666666666,0.9486232777434235,0.0027879990943009266,3,7.398167650306898,2.5001935544597877,12.356058540667412,1.935473266731745,14.938161469082138,2.045905002851077,1.1336292884577437,0.041641377995114415
25.332,24.43,3,0.5066,0.4296333333333333,0.8544385688798646,0.013867718908387852,3,6.880368022258648,2.4755770644134873,13.397812526829734,2.245536774497634,15.831106247174645,2.2726840284305063,1.088334172344198,0.05451879684729301
25.333000000000002,24.43,3,0.5171666666666667,0.3400666666666667,0.6644579550799757,0.003904149010531766,3,6.816545986812833,2.692495070639836,13.542879071034564,3.0137347599409465,15.982135666582542,2.849661240135742,0.9831420094778069,0.07155101474141846
25.334,24.43,3,0.5038,0.2748,0.5529158438654255,0.013571490304069884,3,7.721744010635284,2.9657405441611266,11.919601659620225,2.4151882859267446,14.782712587884118,2.3956348135161423,1.1421972149405046,0.11934375896025033
25.335,24.43,3,0.5147,0.31359999999999993,0.6167641466627293,0.014446710312041127,3,7.521106557650235,2.9418225530805096,12.168712349958085,2.1229988131685853,15.145505492046306,2.1334364204888168,1.2134332193890736,0.10945900193624662
25.336000000000002,24.43,3,0.5133,0.41083333333333333,0.8090613132173713,0.0043346275967133824,3,8.104089135389492,3.1832101622520326,11.37195318028524,2.3524562484329627,14.543964524503076,2.1901015190988833,1.4763494272339195,0.07177509612773082
25.337,24.43,3,0.5067666666666667,0.46130000000000004,0.9169036279753434,0.003502653548222227,3,8.245579603647418,3.0956453781065885,11.139704563540162,2.3088600784679953,14.247604393540001,2.1752570897083086,1.4628599801434456,0.09187688213597847
25.338,24.43,3,0.5134666666666666,0.4857,0.9524753423658554,0.0028830748841186904,3,9.007512631432485,3.1987813185795875,10.030008710369138,2.2619815698182655,13.39688389702448,2.1619857464655663,1.5724897274113883,0.03912419845095411
25.339000000000002,24.43,3,0.4955333333333334,0.47576666666666667,0.9670041530204498,0.00041227887698000394,3,10.88657508953994,2.9341810882118815,6.941575657316723,1.286777674368374,10.57094085530533,1.4068316894495545,1.3243266402293064,0.18842969722340805
25.34,24.43,3,0.5037333333333334,0.4886333333333333,0.9756064788412955,0.001007925440497871,3,11.401635005542282,2.595778483829658,5.846981915325905,0.8105859351843301,9.36829135535249,0.9701610919023329,1.003507341532207,0.014443122153123652
25.341,24.43,3,0.5102666666666666,0.4953,0.9765446923299961,0.0005246509199386733,3,11.385657801398713,2.5625692111004117,5.811932437247591,0.8022836638606305,9.323742744288923,0.9781535986028898,1.0076981817204151,0.012388790173683545
25.342000000000002,24.43,3,0.5119666666666667,0.49499999999999994,0.9737271442647509,0.0008148417740829694,3,11.110962271928836,2.4452962000816885,5.976901042411298,0.834203987244114,9.440909762741262,0.9956077168447154,1.0541216377782532,0.008941975388498813
25.343,24.43,3,0.5040666666666667,0.48533333333333334,0.9688166776248955,0.001148102621266314,3,9.919966345211275,2.6028801175000447,7.7805941252890065,1.6370006785386408,11.40615613444268,1.726038605557229,1.5084954306077618,0.1322439175550609
25.344,24.43,3,0.5133,0.4965333333333333,0.9727260820358049,0.00044612326529493585,3,8.781198958018576,3.023839826750743,9.917517649062694,2.518765032121101,13.367987781734277,2.3378769236972334,1.7821805742671668,0.01519676283932207
25.345,24.43,3,0.5051,0.4898666666666667,0.9766228183616413,0.000914515448879005,3,8.631888623800114,2.8830947960129496,10.062313061759518,2.325857211564952,13.420505638909583,2.1655964068775546,1.6101103823907337,0.06281155606873837
25.346,24.43,3,0.5060333333333333,0.4926,0.9801529076226627,0.0013486265491913952,3,8.892616672730298,2.9425563566919166,9.652215423275798,2.3016187169027496,13.146610348984977,2.1834044825337036,1.640084563565231,0.05530727267077666
25.347,24.43,3,0.5240333333333332,0.5124666666666666,0.9834685269303131,0.00011436865917393827,3,9.1171602957853,2.7137166511250026,9.046687916132896,1.9067879861495065,12.637301295360691,1.8834601233599557,1.4614661403792093,0.04360859761943505
25.348,24.43,3,0.5072,0.4958666666666667,0.9844387005515379,0.00016655443213995318,3,9.563605365277189,2.974361646385439,8.570638905628828,1.971693935923635,12.230212396054839,1.9093574556867967,1.6122187009213758,0.0834977878543595
25.349,24.43,3,0.5199666666666667,0.5085666666666667,0.9840733008526582,0.0008662733831866238,3,9.332147187301862,3.04094957817038,9.084507440253281,2.228826391556215,12.721706536152377,2.158570700596213,1.6203442402279826,0.09635716276939592
25.35,24.43,3,0.5098,0.49900000000000005,0.9844102285486054,0.0015111131537246883,3,9.615400216704527,3.087970075737632,8.602570921315191,2.0529738608239447,12.317553743199364,2.034905380161088,1.6717996175063103,0.0748751170064998
25.351,24.43,3,0.5109333333333334,0.5004000000000001,0.9870009067056452,0.0003879508831263335,3,9.70922370671568,2.926860631428409,8.279162839468007,1.928738247137882,12.046197719193884,1.9104201848134912,1.6282941528863706,0.03844581569635305
25.352,24.43,3,0.5064333333333334,0.49666666666666665,0.9868039753719041,0.0003045619642199727,3,10.208750439909577,2.928231172820817,7.567220214488235,1.7362129317686528,11.386108378478399,1.8316700925496807,1.5996253340886784,0.10544316534407452
25.353,24.43,3,0.5156666666666667,0.5050333333333333,0.9850383564223328,0.00048520081584702755,3,10.391081357134079,2.8742808757442244,7.213962946292902,1.517203325827074,10.974026244311053,1.6503194354973239,1.4910807239063872,0.08700538989968001
25.354,24.43,3,0.5124333333333334,0.5025333333333334,0.986660269283735,0.0005080816483539122,3,10.521910919184178,2.766644066190478,6.984219190596179,1.3938579617074895,10.77455348873901,1.485211547119486,1.4164376519878539,0.08996938168373116
25.355,24.43,3,0.5115,0.502,0.9871916936761272,0.0004747863571697968,3,10.640515377620245,2.6694488444793882,6.735075556379376,1.286570647849038,10.536030216679663,1.3968614549308265,1.3844644252184672,0.054060119592131486
25.356,24.43,3,0.5143666666666666,0.5050666666666667,0.9878332101345113,0.0004932926167331086,3,10.83723568715996,2.7807107379833496,6.558413809412197,1.2129287384074907,10.33030529086418,1.3658025765001343,1.3568487737244757,0.01692830532232817
25.357,24.43,3,0.5099999999999999,0.5001666666666666,0.9877388736774942,0.00069104675783929,3,10.849929921856779,2.551883549212994,6.257645406613906,1.0359891259982195,9.97502177180545,1.2110618428310638,1.227335455751178,0.045791079510230995
25.358,24.43,3,0.5090333333333333,0.5000666666666667,0.9889214741449556,0.0008866856669947077,3,11.038897669647342,2.714642979179106,6.234878904902179,1.0660262064258075,10.000563507578851,1.1942716454079818,1.2566453998478326,0.08439562442308053
25.359,24.43,3,0.5145333333333333,0.5058666666666666,0.9887854255464795,0.0009444366656482558,3,10.864556420442602,2.7303200127957763,6.435901201513712,1.0923242820487171,10.148852772132297,1.2312230257950054,1.288889831962746,0.04001730172524445
25.36,24.43,3,0.5088333333333334,0.5003666666666667,0.9903610500166543,0.00017371324310620228,3,11.1276680455785,2.5927755800438965,5.975062299440592,0.8893145593697619,9.685380019139101,1.0338048960133766,1.121531476621623,0.010805971140531492
