tune-x,tune-y,Nint,max-int,mean-survive,std-survive,Nipm,mean-gauss-mu,std-gauss-mu,mean-gauss-sigma,std-gauss-sigma,mean-gauss-amp,std-gauss-amp,beamsize-growth-mean,std-beamsize-growth
25.315,24.43,5,0.49837999999999993,0.9895611306717734,0.0006647573633856546,5,14.576180112980277,0.9781392758272789,9.354501328947311,1.5468478880697958,15.499907177948382,2.688966944448663,0.9995428230781627,0.012731222773548266
25.32,24.43,5,0.4949,0.9768672279385072,0.0015257497891508404,5,14.420011839839935,0.9328251912559503,8.823417295877935,1.464145003511607,14.832889686361307,2.5461471426283664,0.9833300939840596,0.01337595000864237
25.325,24.43,5,0.50056,0.986745925220274,0.000501376965801044,5,14.377271266416761,0.8793923248085844,8.573740976870775,1.3760196077281002,14.65707521320862,2.452101676594591,0.9824369738492849,0.025624707701934448
25.330000000000002,24.43,5,0.5057799999999999,0.9773763482174204,0.0025084896675602072,5,14.235297538360408,0.8113889122910521,7.891946943655474,1.28746653359901,13.889279098316976,2.2880814424665825,0.9290417057560887,0.023042923760030625
25.335,24.43,5,0.5018,0.5976575492698097,0.006615198189240364,5,14.089915875998756,0.8403301222202526,7.7824874706550915,1.4487426459193913,13.902477069984721,2.333890706605662,0.9931666399321596,0.04972121999615012
25.34,24.43,5,0.507,0.9772543120040241,0.001349109711968,5,13.722752489178816,0.36142879787103116,4.197734329853811,0.3694208953917326,9.180680086369291,1.0351811089533285,1.028842907527677,0.03334471518862635
25.345,24.43,5,0.50832,0.9792708015903109,0.0011017355566440067,5,14.001042209980454,0.6749339660759445,6.679880896682539,1.1322507160534385,12.813222197473213,2.065827372450422,1.2884064611432122,0.09401539587062446
25.35,24.43,5,0.51078,0.9872176708983862,0.0005273377576740532,5,13.820227551453883,0.538424253100327,5.7527743183687665,0.8412336766513233,11.668066968359991,1.683881606615612,1.2887747160544432,0.09143676516218124
25.355,24.43,5,0.5126999999999999,0.9873238540611246,0.0007115696594096666,5,13.711061949215235,0.46897251558608294,5.10244585011665,0.7625955074978998,10.712292174344102,1.5728211612543839,1.3840451364396116,0.06974216086660628
25.36,24.43,5,0.52626,0.9918414478051087,0.00030291998587967484,5,13.620110852220813,0.40484664670994414,4.620822298943041,0.5906117704412366,9.997908123067095,1.3459635686113578,1.2937048563837736,0.05213549407408254
25.365000000000002,24.43,5,0.51508,0.99341072603307,0.0005192940089905575,5,13.552438617254518,0.35989793047390684,4.228483130056839,0.3823404648617456,9.282886703385604,1.039851195393391,1.096915037917722,0.032844235370999515
25.37,24.43,5,0.5117999999999999,0.9950535715763176,0.0006712807683602669,5,13.496827567192906,0.34358566231994336,4.04241868729076,0.3337484635680358,8.935163454326542,0.957549432223809,1.0157661657875516,0.013805681412036176
25.375,24.43,5,0.51352,0.995242743761384,0.00035014970356683707,5,13.469082350194569,0.3270229566556613,3.9908111347817985,0.3244187257656167,8.84981888604112,0.9424606314022033,0.9995283251792875,0.010811550868763805
25.38,24.43,5,0.5197800000000001,0.9964623064621014,0.0004764089583354885,5,13.432390568139368,0.332081416027511,3.982517760273935,0.33273176945629784,8.814204731262162,0.9622634942260045,0.993934122817236,0.009583729936695666
25.385,24.43,5,0.51268,0.9960987928879346,0.00047442585794804155,5,13.406544485262193,0.32966491792221286,3.973196753979315,0.3282834399200525,8.779941454629114,0.9527485037420995,1.0007203673441776,0.00730864541473894
25.39,24.43,5,0.50376,0.9956372176382666,0.00028527909194521434,5,13.377779794907255,0.3297586893685479,3.9521642173528106,0.32846375748507706,8.742026617447141,0.9505078374400291,1.0060897405267446,0.010272950423714242
