,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std,vectors
0,bare,R:HP100,0.0,0.0031596443104504814,0.0002444997498434026,3.7858219730721903,0.3545735449749506,60
1,bare,R:HP102,0.0,0.003165615517958764,0.0002447437995609785,2.6767804270404976,0.35539211157374595,60
2,bare,R:HP104,0.0,0.003186632434495615,0.0002454704214479331,0.3905592221037004,0.3542692653525764,60
3,bare,R:HP106,0.0,0.003218739002203178,0.00024763223568692106,4.785864859797049,0.357331558815537,60
4,bare,R:HP108,0.0,0.003218687429614008,0.0002492981573701116,3.0428546145907642,0.3545542746996725,60
5,bare,R:HP110,0.0,0.003191352664880155,0.0002443939007291983,1.542205477211147,0.35381344220168853,60
6,bare,R:HP112,0.0,0.0032224301207336202,0.00024022546773987485,5.83557917248648,0.35040215915934136,60
7,bare,R:HP114,0.0,0.0032744198084205746,0.00024750344885230156,4.068095639239225,0.35827409216610473,60
8,bare,R:HP116,0.0,0.0032731761019655003,0.0002543215145310454,2.418958235166605,0.35609426546426765,60
9,bare,R:HP118,0.0,0.0032364099471686907,0.0002481360937469322,0.6365184902108014,0.35505824075877634,60
10,bare,R:HP120,0.0,0.003256988092075508,0.00024337279851633303,5.279706183388619,0.3496824026544134,60
11,bare,R:HP122,0.0,0.003318478157626758,0.000248779280117765,3.5523311822806463,0.3547230717139657,60
12,bare,R:HP124,0.0,0.0033615142000575624,0.0002542875617201756,1.912507366078681,0.34632584656028526,60
13,bare,R:HP126,0.0,0.0033361436664985943,0.00025099993687649437,0.10830807880365362,0.3486533260150078,60
14,bare,R:HP128,0.0,0.003334610426418476,0.00024277800418605946,4.727764448985931,0.3480340197989393,60
15,bare,R:HP130,0.0,0.003405129308433424,0.00024371665200877428,2.905440858262152,0.34738409670569376,60
16,bare,R:HP202,0.0,0.0034584298164249128,0.00025455218185820613,1.305002942111455,0.3411845719229297,60
17,bare,R:HP204,0.0,0.003413099290998328,0.00025481640789128937,5.686737927189042,0.3409562981618284,60
18,bare,R:HP206,0.0,0.0033921059167664183,0.0002444884311498308,4.085826439193221,0.34470654567164905,60
19,bare,R:HP208,0.0,0.0034576881185238864,0.00023702458831608748,2.156046887217493,0.3477966810931749,60
20,bare,R:HP210,0.0,0.0034967032813634255,0.00024433469724095364,0.6677032529124894,0.3395558888801545,60
21,bare,R:HP212,0.0,0.00342185499378634,0.000251819844694502,5.053976717410733,0.3401511142649302,60
22,bare,R:HP214,0.0,0.0033717159980202623,0.0002449356599302976,3.522440774560293,0.3522984182450767,60
23,bare,R:HP216,0.0,0.003454632582429435,0.00023727479515109974,1.5600724929873047,0.35458274486798835,60
24,bare,R:HP218,0.0,0.00354376484817639,0.0002421557383397331,0.033627611499960006,0.35142006292499983,60
25,bare,R:HP220,0.0,0.0035310628084444886,0.00025500961163506133,4.524851349647819,0.356696240673172,60
