,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std,real,real-std,imag,imag-std,vectors
0,bare,R:HP100,0.0,4.908377413342398e-05,0.0009765731476414794,-1.9576006149264702,16.726680622454627,-1.8515908239296906e-05,0.0007864034502691317,-4.5457430913492214e-05,0.0010046491277191693,20
1,bare,R:HP102,0.0,4.996437082861021e-05,0.0006528121176715971,-2.9423609736996257,22.06575611697125,-4.897602212143192e-05,0.0006265908802690823,-9.888761775868936e-06,0.0011176123453970018,20
2,bare,R:HP104,0.0,4.173667948687257e-05,0.000847636900505828,0.6832858487846522,23.02455142388506,3.23668953617481e-05,0.0005618180455186477,2.6350227688420052e-05,0.001151654860123106,20
3,bare,R:HP106,0.0,5.490731741190509e-05,0.0009378299935358826,-0.7805693183881715,16.938006726175765,3.901236462365098e-05,0.001275712269925537,-3.863740301628723e-05,0.00034208398560358076,20
4,bare,R:HP108,0.0,4.160943563070639e-05,0.0004019441391645566,-2.985292731222138,30.145994219173655,-4.110221718943213e-05,0.0003544086702336725,-6.477103953052511e-06,0.00126860832840985,20
5,bare,R:HP110,0.0,3.5258002926062326e-05,0.000447565569697605,1.8205064508426674,34.40652390965746,-8.71306643474664e-06,0.0012490257356683274,3.416444414355239e-05,0.0003344759630896195,20
6,bare,R:HP112,0.0,4.04573694205949e-05,0.0006137600367726407,0.03865846509212895,28.039130238158112,4.042714188291818e-05,0.0006126481912581668,1.563630267323573e-06,0.0011349903089400218,20
7,bare,R:HP114,0.0,6.314055823567612e-05,0.0008388408253176208,-1.3805889975895842,16.844806904979002,1.1937511101535714e-05,0.0010713005432226776,-6.200182193301677e-05,0.0008289715629317527,20
8,bare,R:HP116,0.0,4.956421212318809e-05,0.0008944159427021042,3.000178687289565,20.099436208866877,-4.9069447147116325e-05,0.0008921874747742483,6.985734039365034e-06,0.0009982089818932663,20
9,bare,R:HP118,0.0,3.4308760170261974e-05,0.0008990806995772658,0.6707038577709175,27.766935695259722,2.6876947018533368e-05,0.0007998880516273705,2.1324182126954005e-05,0.0010373358126786025,20
10,bare,R:HP120,0.0,3.4301853325499274e-05,0.0009027734336184103,-0.8367290228087476,27.33252555880557,2.2978638711916584e-05,0.0010767151326659691,-2.546761285458993e-05,0.0007312292245449037,20
11,bare,R:HP122,0.0,4.8845798355647986e-05,0.0010784216088181313,-2.1238506479675254,16.767004975517033,-2.5658144479667393e-05,0.0006063669859323065,-4.1564066678576306e-05,0.0012108135899123011,20
12,bare,R:HP124,0.0,4.116003288253419e-05,0.0006766469559584189,1.9606689020000458,27.763679703583232,-1.564371656987101e-05,0.0012157957281463947,3.80712810235332e-05,0.0005343954390967058,20
13,bare,R:HP126,0.0,4.291414420179913e-05,0.0006751501955870338,-0.4888219823087793,26.287915534136356,3.788832509288775e-05,0.0003655059771529881,-2.0151888105794517e-05,0.0012628917484781273,20
14,bare,R:HP128,0.0,4.5540028055932416e-05,0.0007873893547202999,-2.1954845449903826,22.965899649408566,-2.6633830428152093e-05,0.0012676311745150942,-3.693958895358137e-05,0.0003270053168877847,20
15,bare,R:HP130,0.0,4.355779458082332e-05,0.000599036693796302,2.790818718073784,27.670085897564327,-4.090543200603201e-05,0.00043561982606787544,1.496753490542426e-05,0.001273460981119303,20
16,bare,R:HP202,0.0,3.997212658246672e-05,0.0005931992778263571,1.2553459139240948,30.18682960565835,1.240114004872597e-05,0.0012599855101417528,3.7999771433741905e-05,0.0004693422373538079,20
17,bare,R:HP204,0.0,3.382042595167712e-05,0.0010080412175068265,-1.078307736491115,24.962949919013052,1.5990980345762913e-05,0.0007681797655925175,-2.9801170432288384e-05,0.0010671540834642328,20
18,bare,R:HP206,0.0,4.184831259611645e-05,0.0010298428514643261,-2.8305017526415135,19.662319494002126,-3.9839602569080416e-05,0.0010510931885304893,-1.2809657851792921e-05,0.0007955103193135109,20
19,bare,R:HP208,0.0,4.760951093409065e-05,0.0008009623722395699,1.8214026362354907,23.101987504471168,-1.1806748055470276e-05,0.0011178405037022927,4.6122296470773715e-05,0.0007756912172671444,20
