,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std,real,real-std,imag,imag-std,vectors,bare-vectors
6792,ss319,R:HP610,-10.0,0.04706749809900156,0.006927785976942712,-2.1338351880512936,0.13998326691834378,-0.025122673984639115,0.00635412686032312,-0.03980201790312964,0.007143511692888603,5,48
6793,ss319,R:HP610,-8.0,0.03935934991103554,0.007464761555526602,-2.119968491821528,0.18807569642716068,-0.020544844645315516,0.0073650299501735765,-0.03357183021402294,0.007501770131342877,5,48
6794,ss319,R:HP610,-6.0,0.030590646956920684,0.009557907438787675,-2.2317661401151847,0.3435654062088137,-0.01877906920906651,0.011818992186464483,-0.02414817261997377,0.007881799609547213,5,48
6795,ss319,R:HP610,-4.0,0.020264985803300883,0.006893833104310207,-2.2122458947520354,0.3538660681333126,-0.01212570636108251,0.0075061162759307905,-0.016236899176036955,0.006527457181636296,4,48
6796,ss319,R:HP610,-2.0,0.009678476140048053,0.007963507064373326,-2.2690689384609763,0.8366440516418041,-0.006222249215011666,0.008408132586806364,-0.0074132661560048,0.007634741481279599,5,48
6797,ss319,R:HP610,0.0,0.004368012192513719,0.008018040020334625,-2.252596317332524,1.7759284901280752,-0.0027526847154449425,0.007227303954372103,-0.003391497806471987,0.008498846650899436,4,48
6798,ss319,R:HP610,2.0,0.009303685164370966,0.007990549435240987,1.1698077794463657,0.5612296117950738,0.003631495003174206,0.00438718260477095,0.00856567578651312,0.00847735861283811,5,48
6799,ss319,R:HP610,4.0,0.02016120868886156,0.0065615952496314855,0.7795095868740048,0.32662971893625686,0.014339828025394732,0.005477850992887327,0.014171932401685055,0.007510871941845123,4,48
6800,ss319,R:HP610,6.0,0.02710603290433005,0.00738643126305404,0.8926752902868101,0.26501633101823097,0.017004451587660657,0.006792587472954859,0.021108899687419243,0.007747476305880419,5,48
6801,ss319,R:HP610,8.0,0.0400730830883606,0.008842898621284427,1.0885054092413247,0.1918477197496187,0.018586296435770963,0.007203862260438519,0.03550213476691648,0.009241508876059481,5,48
6802,ss319,R:HP610,10.0,0.05282869956308869,0.01335439700354822,0.921331167769666,0.2345165535732339,0.03194871292615948,0.010938473880383676,0.042073165318156615,0.014566471704235053,5,48
6803,ss319,R:HP612,-10.0,0.051658264855339205,0.008496399119629353,3.097207034051081,0.12204154982874897,-0.05160738766842276,0.008500171954446186,0.0022921313019764918,0.006299366941593193,5,47
6804,ss319,R:HP612,-8.0,0.04445177834379422,0.008878541150629402,3.09152406845791,0.12933331890389363,-0.04439607271841905,0.00888502839210911,0.002224707869959685,0.005739065127040517,5,47
6805,ss319,R:HP612,-6.0,0.03372894072763017,0.010321142773232197,2.984236806799231,0.356370233101539,-0.03331222281898488,0.010273548536935205,0.005285570306626545,0.01206069481781671,5,47
6806,ss319,R:HP612,-4.0,0.022175847402832342,0.008407553659860182,3.0388526913735086,0.229004952960423,-0.022058911739858588,0.008436192981189375,0.0022743396595132576,0.0050306598664190206,5,47
6807,ss319,R:HP612,-2.0,0.010663195136768647,0.010133826928591005,2.9557859181277184,0.5557169494497531,-0.01047965525938414,0.010255234626037925,0.0019699127313840235,0.005713033172672473,5,47
6808,ss319,R:HP612,0.0,0.0030242489656535825,0.009819042751224291,2.7364200379887667,1.6584516148443178,-0.002779388741929392,0.01060552052292675,0.0011920906121150843,0.003015374477395805,5,47
6809,ss319,R:HP612,2.0,0.01202408669144902,0.00946650224207734,0.12667937790108671,0.3959078392233241,0.011927736388394727,0.009524631791541666,0.0015191331121549943,0.0046430323539266615,4,47
6810,ss319,R:HP612,4.0,0.022168407971411577,0.008559301172860042,-0.2600014094366178,0.21350310306820183,0.02142331926227503,0.008782655210986586,-0.0056990967506772424,0.004304430180022698,4,47
6811,ss319,R:HP612,6.0,0.030263478200887328,0.00959564626312419,-0.14611904727440184,0.19740271480438876,0.02994097824432313,0.009660471381106957,-0.00440635161880569,0.005868688453346547,5,47
6812,ss319,R:HP612,8.0,0.043696269072047385,0.008997725244321304,0.015811417284123632,0.17669978631674715,0.043690807132181105,0.008998021874389328,0.0006908711568141233,0.00772077571979489,5,47
6813,ss319,R:HP612,10.0,0.0567203523116156,0.010872153013078338,-0.15309023513086492,0.26784001036067157,0.05605698275195851,0.010745127454104306,-0.008649453803589224,0.015282087419056437,5,47
6814,ss319,R:HP614,-10.0,0.05017960270076867,0.0071790932539076,1.7446752905298561,0.0941708838391686,-0.008681277719204121,0.0046260169390106125,0.049422949571722656,0.007243569297146224,5,44
6815,ss319,R:HP614,-8.0,0.041093940096925755,0.007582449884228971,1.7717291555498018,0.12315733718637546,-0.008201671510226617,0.0049228164590011175,0.040267164006520986,0.007672897118785895,5,44
6816,ss319,R:HP614,-6.0,0.03093613952018299,0.010480304468522208,1.7074456605851032,0.34177803804544166,-0.004214258722787855,0.010575077150632094,0.030647752802279556,0.010478504251718094,5,44
6817,ss319,R:HP614,-4.0,0.020996647823976738,0.007704730249809528,1.6813023287665638,0.22449826507877002,-0.002315536158557033,0.004664340086785343,0.020868577147053462,0.007734718563274248,4,44
6818,ss319,R:HP614,-2.0,0.009778669167530517,0.009236052925046248,1.6174004770420196,0.45059594442427836,-0.00045556161603671393,0.004389900000167302,0.009768051714748751,0.0092438251121575,5,44
6819,ss319,R:HP614,0.0,0.0073634341920656675,0.012436248476215618,1.538505911084226,0.5367794114663579,0.0002377270342487242,0.0039341261429632094,0.007359595706155948,0.012442085801548135,4,44
6820,ss319,R:HP614,2.0,0.00949510706559144,0.007272167605759959,-1.2370274812995916,0.5129646276616427,0.003110656001285704,0.0044427585605522155,-0.008971113499934649,0.007541192812549812,5,44
6821,ss319,R:HP614,4.0,0.021718087679565987,0.007764313003269562,-1.5635839885280614,0.2562061621311916,0.0001566368368610263,0.0055641708167333374,-0.02171752281819117,0.007764411237524486,4,44
6822,ss319,R:HP614,6.0,0.028247969902090053,0.008351005385568969,-1.5257637624043152,0.15107250587509274,0.0012716486190187995,0.0042551892223131795,-0.02821933226316904,0.008357280668948905,5,44
6823,ss319,R:HP614,8.0,0.04209202235182158,0.007613437173664995,-1.3112394210330007,0.22351920632931324,0.01080301539374743,0.009530762667247282,-0.04068209930754193,0.007459659294405203,5,44
