,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std
48,bare,R:HP334,0.0,0.038025029289186614,0.004785753680598758,4.260675804855518,0.39829325496392237
49,bare,R:HP336,0.0,0.03617231163040667,0.005723616281303935,2.6005933802768166,0.348901437741608
50,bare,R:HP338,0.0,0.03455564828483054,0.004622795868984289,0.6153997046927124,0.2817472716899479
51,bare,R:HP340,0.0,0.03419456622026907,0.004010041938224992,5.289455450064174,0.4063748742774847
52,bare,R:HP400,0.0,0.03440496096613224,0.0038656655455290064,3.7607196117330175,0.38773549633678644
53,bare,R:HP402,0.0,0.03341223670180135,0.0037469109520727457,2.196093353777349,0.377796990805715
54,bare,R:HP404,0.0,0.03392638507581186,0.0038741174827334455,0.25963735738271554,0.379993359183783
55,bare,R:HP406,0.0,0.03628694902819874,0.004071616087707416,4.8111942810416295,0.39304517294607716
56,bare,R:HP408,0.0,0.034203348847006675,0.004029332155220868,3.2574666900973615,0.42457169476395373
57,bare,R:HP410,0.0,0.03112584559261987,0.004469208046259849,1.5388558300532997,0.4423009701291065
58,bare,R:HP412,0.0,0.030816214628328824,0.003983559839901802,5.927576826839056,0.40548223843668374
59,bare,R:HP414,0.0,0.035108781988116185,0.003911946949391673,4.500672011140363,0.4247090925913483
60,bare,R:HP416,0.0,0.03316343821251381,0.0038727411033421333,2.6724961830943177,0.4148832825097147
61,bare,R:HP418,0.0,0.030091985296209017,0.004372286865979894,1.2360485891040058,0.43840111239404633
62,bare,R:HP420,0.0,0.027156383365922795,0.003668932374955608,5.592081991974664,0.41266710079195973
63,bare,R:HP422,0.0,0.025828868468917975,0.0032736141971927042,4.057771400984226,0.4357009931834936
64,bare,R:HP424,0.0,0.025369084903396164,0.0030077878081042238,2.240992434490796,0.41535946718416816
65,bare,R:HP426,0.0,0.024017013993207527,0.003359018725604527,0.691809999760902,0.4145934257263115
66,bare,R:HP428,0.0,0.02197488477970002,0.0029884141168666977,5.088236935419831,0.4378643844796776
67,bare,R:HP430,0.0,0.02142025139840988,0.0028389391666196334,3.4698004302772083,0.508392422482936
68,bare,R:HP502,0.0,0.020622729507547916,0.0026205160955990515,1.8347144613400237,0.38205871124094043
69,bare,R:HP504,0.0,0.019455070815888268,0.0030451929162508577,6.1563318799677615,0.41004176415908483
70,bare,R:HP506,0.0,0.017881382716900155,0.002748502072520826,4.628984796332961,0.42776031388733166
71,bare,R:HP508,0.0,0.017403017241764705,0.0029396999995026695,2.639430585018544,0.48550368643613134
72,bare,R:HP510,0.0,0.016952921603421683,0.0028569024854359078,1.2848515202469895,0.5102293150027316
73,bare,R:HP512,0.0,0.01699876998440347,0.0027466951144427434,5.566082352113161,0.42230401248665583
74,bare,R:HP514,0.0,0.0160008867917666,0.002632561807819065,4.0565363567414074,0.4299329819565599
75,bare,R:HP516,0.0,0.01582709689808331,0.0027867992547982294,2.1868336586458237,0.5001542834896235
76,bare,R:HP518,0.0,0.015310785750248435,0.0028222720883215716,0.5774594258093508,0.527603193963993
77,bare,R:HP520,0.0,0.015764864252262773,0.00262668504983886,5.246109226920797,0.3983923531433225
78,bare,R:HP522,0.0,0.015602928085994928,0.002599568674920821,3.744264115571142,0.46700874830007316
79,bare,R:HP524,0.0,0.015766292704769622,0.002584103030314196,1.2054220310489419,0.46413203159190697
80,bare,R:HP526,0.0,0.015477710728575214,0.0027907320697900246,0.6486384433659353,0.4992637134628592
81,bare,R:HP528,0.0,0.0161550132664263,0.0028332862643545833,4.588205560700109,0.4421591763885366
82,bare,R:HP530,0.0,0.01611589216487391,0.0027116379375641906,2.695162112904972,0.42060396677573003
83,bare,R:HP532,0.0,0.016004701462765458,0.002628620099702808,1.7479046826360423,0.47740561519788266
84,bare,R:HP602,0.0,0.015380741798013515,0.001975778183733097,5.422812378248731,0.4638086033814195
85,bare,R:HP604,0.0,0.015444983859354717,0.0019721690280970834,3.8300501948855237,0.48256586163101806
86,bare,R:HP606,0.0,0.015375926174673864,0.001976898582997081,2.536044195867414,0.46405084174676653
87,bare,R:HP608,0.0,0.015446770965390341,0.001989661833264765,1.3176076725377917,0.4870643698051148
88,bare,R:HP610,0.0,0.015443861808664895,0.0019666951793912055,5.742961550364574,0.4852743149730134
89,bare,R:HP612,0.0,0.016367550404597933,0.001975915127214784,4.674574718110895,0.4827288162595722
90,bare,R:HP614,0.0,0.015910859765071023,0.0019450370013500862,3.3631079342018397,0.42165832556902955
