,intensity,MW102_h,MW829,booster_turns,MW826,MW827,MW102_v,MW836,MW851,MW104,MW850,MW852,MW853,MW103,tuneshiftx,tuneshifty
18,0.8925232895743048,2.650610707621953,8.601250627308627,3.0,8.278611189598356,8.081734035255874,0.2012921543339178,13.475397297581827,0.05599019498714213,11.25009881001204,11.92647560706292,0.012030434061459568,12.719791659533323,7.879033015522113,-0.005926291258443726,-0.008461871158942523
19,0.8868620398174919,2.6552952223517043,8.658640310993178,3.0,8.394141687725588,8.12978196776951,0.11722646236761429,13.838570982946699,0.05594830594905643,11.416560735980957,11.882682494003234,0.009740097140633047,12.871142999415506,7.878806879860134,-0.005802839332995044,-0.008408439081762743
20,0.9095070388447439,2.6713002077080708,8.780598566428012,3.0,8.33466390170908,7.979010342534454,0.20023239474789917,13.635130858868518,0.022279352365788173,11.246993479046278,11.670604716351898,0.0263874771120459,12.805263981709405,7.735554013511721,-0.006040729551889081,-0.008782828710148944
21,1.209553275955833,2.658261780907962,8.776001144684447,4.0,8.543725755493472,8.261058881528223,0.19618941850507018,14.167895714291692,0.06943493316547347,11.25139691740029,11.089267077717821,0.023933323155045795,12.28295493495088,8.113769103581815,-0.00803042125282169,-0.011135818110665401
22,1.1982307764422069,2.6489037560005095,8.756356056893004,4.0,8.458333385506348,8.186464848078428,0.20779517813446868,13.586574338047308,0.07127657931140849,11.041600242239417,11.407490808174455,0.014900145926653724,12.366974610425391,8.004834259176985,-0.008106403589106876,-0.011181701573715742
23,1.20389202619902,2.643636007642275,8.834637727936162,4.0,8.493915428236233,8.089901978676448,0.21009559872832648,13.91333447585889,0.06919301873500985,11.07668581147578,11.17354172642663,0.017478332935325122,12.363950170719914,7.938522070552605,-0.008118905231393997,-0.011328375934720837
24,1.2152145257126459,2.723132954934911,8.978912585950264,4.0,8.67494754882347,8.336792429117326,0.015956163148138008,14.208190342748324,0.07088677988718185,11.15901843142478,11.80358397058008,0.018348964565338327,12.702126433784754,8.153346518564364,-0.008134797162975814,-0.011133630990766842
25,1.48695451403967,2.6804168943369486,9.020273905475888,5.0,8.607110150270195,8.39871500872047,0.008128849271448376,13.907122094801217,0.03499023391889141,11.260914053275375,10.668153291411231,0.023862759864687083,12.082766078801368,8.14927419058721,-0.009863789854186815,-0.013630083758362735
26,1.532244512094174,2.689638039421253,8.883928507783418,5.0,8.594480524758243,8.406392441782712,0.007656755776088644,13.926795399004371,0.05113569363172974,11.008544179415988,10.888389237376407,0.003573692485966313,11.897863680512913,8.27297066929484,-0.010397237301058137,-0.013835229296458558
27,1.5209220125805478,2.6664079911769583,8.859648822446054,5.0,8.550579959769587,8.431298595326265,0.011374915618593169,13.886729450316581,0.06881277858939622,11.087050250774181,10.794304498020772,0.01110143965106164,12.001310923824523,8.249157527830832,-0.010247329497616944,-0.013772637592750003
28,1.498277013553296,2.684891159028012,8.859979762911601,5.0,8.573201872940677,8.432918623069147,0.008425757217975904,13.908766219117926,0.05543218368149167,11.033053139848434,10.913671918208527,0.023380973424401385,12.012548577296538,8.264815930354283,-0.01014416204337756,-0.013541871933622173
29,1.526583262337361,2.657334737767367,8.88792333830265,5.0,8.549896251164322,8.385035797427594,0.010916297601243893,14.199830588074228,0.07006343460975957,10.933387923019552,11.049032083976902,0.021644117154880505,12.179317165818828,8.15290898258914,-0.010430028864552623,-0.013987099803023978
30,1.526583262337361,2.708460057086871,8.901597048392338,5.0,8.607917843744806,8.43471899257287,0.012722166948402993,13.85296355651621,0.07239598524930312,11.006824713249287,11.09211436058616,0.013545635982601952,12.218643584358428,8.326782521197336,-0.010360440417223738,-0.013695031824614946
31,1.8662582477461411,2.731444016302492,9.30768064536902,6.0,8.985918322835571,8.810934026200371,0.004514426499733533,13.987280657162158,0.023271588375461096,11.319114793342315,11.08268877421619,0.004474484617652957,12.33604562838977,8.473614517235207,-0.012316265631828876,-0.01645215559763917
32,1.820968249691637,2.7026863601672635,9.092234811698185,6.0,8.743924494253246,8.670859656510403,0.004838406073791646,13.988982228478738,0.01779404627117424,11.1165322044061,10.796932590781559,0.018251692591888847,12.083679520635977,8.383202669706815,-0.01223637602318554,-0.016226026434801907
33,1.843613248718889,2.716106632428981,9.193652717936208,6.0,8.863022017009962,8.749030678478618,0.0039465118211332575,14.013205920352279,0.002989158016900076,11.247964464078393,10.928281468161725,0.017336188723174425,12.151981665789608,8.45513798780947,-0.012243783909460472,-0.016288042432663553
34,1.849274498475702,2.743430388849144,9.329325081143342,6.0,8.928600420836409,8.737109998606252,0.003908830469289623,14.010904524510401,0.01237665739771785,11.202793795985,11.123162569272502,0.0022886180796455897,12.383403642646424,8.38649272297968,-0.012330900968390596,-0.01647178927241839
37,2.1379982360731646,2.758518735218636,9.4591728108978,7.0,9.029783615128169,8.979323031075412,0.0027809577966045624,13.875094794291998,11.327727119297274,11.256967342868032,10.995666540124788,0.02148865451153732,12.484565346146479,8.562185626888494,-0.014187494549601819,-0.018652733049893476
39,2.087046988261848,2.8379234407912395,9.667212788120843,7.0,9.247276044080303,9.146528319214381,0.0013764242335257853,14.2280516057547,11.728800574262594,11.582709546219455,11.28017538512962,0.009446688796792007,12.711906699473069,8.795540715848022,-0.013459899971310536,-0.017725131055098094
40,2.126675736559539,2.788607792667612,9.560073821564878,7.0,9.075326909980435,9.033244873647565,0.0014351459417175443,13.833687541216323,11.517968327198206,11.485327043284133,10.876218152271763,0.013318519404755157,12.501281046758567,8.677805913143366,-0.013831767534963445,-0.018306744275661074
41,2.149320735586791,2.8091906011353416,9.56878622412989,7.0,9.174955767413962,9.156560831581864,0.0005994486316204077,14.00292554671036,11.752521625528177,11.556455415172877,11.129206652250698,0.02326590319694985,12.52553201791526,8.801304217165084,-0.013893010109954628,-0.018242063671098898
42,2.1096919872890996,2.762920056359125,9.345632352741058,7.0,8.935402505586467,8.962110270374117,0.0022400835027735115,13.940251273962142,11.565687397065725,11.320106022171563,10.688435422922284,0.011068811508758068,12.255930496944075,8.61317525597579,-0.013921573682498729,-0.018296816841387398
43,2.477673221481945,2.8410263817161954,9.75723701564092,8.0,9.34607794727401,9.3205701447666,10.377554261730907,13.6895272050858,11.423396122479396,11.7504060077785,11.025118781526459,0.009727599634963065,12.654814940260353,8.88928321237221,-0.015751101331050923,-0.020820782878411343
